Journal Title,Imprint,Print ISSN,Electronic ISSN,Journal URL,Publishing Model,License Options,Subject Areas
A Current Bibliography on African Affairs,SAGE,0011-3255,2376-6662,https://journals.sagepub.com/loi/CBA,Hybrid,CC BY,Area & Ethnic Studies
Abhigyan,SAGE,0970-2385,2583-1445,https://journals.sagepub.com/loi/ABH,Hybrid,CC BY,Business & Management
About Campus,SAGE,1086-4822,1536-0687,https://journals.sagepub.com/loi/ACA,Hybrid,CC BY,Education
Abstracts in Anthropology,SAGE,0001-3455,1557-5136,https://journals.sagepub.com/loi/AAX,Hybrid,CC BY,Anthropology & Archaeology
Academic Forensic Pathology,SAGE,1925-3621,1925-3621,https://journals.sagepub.com/loi/AFP,Hybrid,CC BY,Clinical Medicine
Accounting History,SAGE,1032-3732,1749-3374,https://journals.sagepub.com/loi/ACH,Hybrid,CC BY,Business & Management
Acta Radiologica,SAGE,0284-1851,1600-0455,https://journals.sagepub.com/loi/ACR,Hybrid,CC BY,
Acta Sociologica,SAGE,0001-6993,1502-3869,https://journals.sagepub.com/loi/ASJ,Hybrid,CC BY,Cultural Studies
Action Research,SAGE,1476-7503,1741-2617,https://journals.sagepub.com/loi/ARJ,Hybrid,CC BY,Research Methods & Evaluation
Active Learning in Higher Education,SAGE,1469-7874,1741-2625,https://journals.sagepub.com/loi/ALH,Hybrid,CC BY,Education
Acupuncture & Electro-Therapeutics Research,SAGE,0360-1293,2167-9010,https://journals.sagepub.com/loi/AET,Hybrid,CC BY,Clinical Medicine
Acupuncture in Medicine,SAGE,0964-5284,1759-9873,https://journals.sagepub.com/loi/AIM,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
Adaptive Behavior,SAGE,1059-7123,1741-2633,https://journals.sagepub.com/loi/ADB,Hybrid,CC BY,Materials Science & Engineering
ADCES in Practice,SAGE,2633-559X,2633-5603,https://journals.sagepub.com/loi/AIP,Hybrid,CC BY,Clinical Medicine
Administration & Society,SAGE,0095-3997,1552-3039,https://journals.sagepub.com/loi/AAS,Hybrid,CC BY,Political Science & International Relations
Administrative Science Quarterly,SAGE,0001-8392,1930-3815,https://journals.sagepub.com/loi/ASQ,Hybrid,CC BY,Business & Management
Adoption & Fostering,SAGE,0308-5759,1740-469X,https://journals.sagepub.com/loi/AAF,Hybrid,CC BY,Sociology
Adult Education Quarterly,SAGE,0741-7136,1552-3047,https://journals.sagepub.com/loi/AEQ,Hybrid,CC BY,Education
